State,City,Year,Population1,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Arson
Michigan,Sterling Heights,2021,,217,2,31,16,168,1064,82,802,180,5
Michigan,Warren,2020,133928,686,12,108,90,476,1947,349,1177,421,23
Michigan,Warren,2021,,685,5,105,94,481,2067,350,1304,413,14
Minnesota,Minneapolis,2020,435116,5062,82,380,1784,2816,19921,3933,12011,3977,125
Minnesota,Minneapolis,2021,,5607,94,339,2216,2958,18326,2528,11615,4183,116
Minnesota,Rochester,2020,120336,309,5,74,46,184,2338,335,1848,155,7
Minnesota,Rochester,2021,,367,1,65,42,259,2336,303,1868,165,6
Minnesota,St. Paul,2020,309859,2327,33,235,724,1335,11798,2148,6820,2830,228
Minnesota,St. Paul,2021,,2415,38,284,519,1574,12478,1699,8143,2636,220
Missouri,Columbia,2020,124829,556,13,93,56,394,3334,404,2490,440,20
Missouri,Columbia,2021,,616,6,132,51,427,3116,394,2350,372,15
Missouri,Independence,2020,116648,800,13,147,125,515,5363,587,3799,977,22
Missouri,Independence,2021,,668,8,125,91,444,4339,392,2956,991,13
Missouri,Kansas City,2020,499335,7962,176,400,1290,6096,20780,3094,13108,4578,193
Missouri,Kansas City,2021,,6501,137,370,1066,4928,18454,2438,12044,3972,135
Missouri,Lee's Summit,2020,100268,129,0,28,25,76,2050,167,1648,235,4
Missouri,Lee's Summit,2021,,155,2,23,15,115,1814,164,1394,256,4
Missouri,Springfield,2020,168856,2666,23,206,384,2053,12381,1859,9134,1388,59
Missouri,Springfield,2021,,2353,18,158,297,1880,9554,1403,6896,1255,33
Missouri,St. Louis,2020,298422,6017,263,234,1242,4278,17399,2552,11626,3221,220
Missouri,St. Louis,2021,,4387,189,146,808,3244,16146,1835,10802,3509,149
Montana,Billings,2020,110157,960,14,97,125,724,5282,718,3739,825,23
Montana,Billings,2021,,1147,6,113,125,903,5212,616,3577,1019,47
Nebraska,Lincoln2,2020,292600,,,,,,,,,,
Nebraska,Lincoln,2021,,1208,7,259,135,807,7911,907,6383,621,61
Nevada,Henderson,2020,328056,691,13,107,179,392,4681,620,3517,544,26
Nevada,Henderson,2021,,764,14,85,151,514,5526,810,3931,785,36
Nevada,Las Vegas Metropolitan Police Department,2020,1693061,9217,100,1143,1736,6238,38518,7302,24053,7163,165
Nevada,Las Vegas Metropolitan Police Department,2021,,7720,146,957,1352,5265,42073,7822,25646,8605,167
Nevada,North Las Vegas,2020,256217,1337,18,89,398,832,4173,803,2248,1122,47
Nevada,North Las Vegas,2021,,913,22,87,290,514,4202,875,2048,1279,26
Nevada,Reno,2020,259168,1605,17,296,294,998,6806,1353,4466,987,27
Nevada,Reno,2021,,1427,17,284,254,872,7316,1165,4792,1359,21
New Jersey,Elizabeth,2020,129518,774,17,44,282,431,2897,268,1931,698,9
New Jersey,Elizabeth,2021,,640,10,69,244,317,2928,289,1930,709,11
New Jersey,Jersey City,2020,263273,1167,17,59,340,751,3940,500,3004,436,9
New Jersey,Jersey City,2021,,311,21,23,44,223,2152,46,1727,379,4
New Jersey,Newark,2020,282242,1494,56,116,369,953,4567,535,2325,1707,29
New Jersey,Newark,2021,,1369,60,55,305,949,4014,434,1876,1704,24
New Mexico,Albuquerque,2020,562065,7579,78,453,1442,5606,28194,5082,18148,4964,166
New Mexico,Albuquerque,2021,,7831,120,497,1689,5525,24551,4328,15340,4883,126
New York,Buffalo,2020,254627,2671,63,55,703,1850,8415,1509,5595,1311,122
